stage	timetodiagnose	Pathway	N	DE	p.value	p.adjusted
All	(8.4,10]	Sulfur relay system	8	2	0.085956841475549	0.363663560088861
Distant	(2.8,4.2]	Glycerophospholipid metabolism	97	20	0.131390908363683	0.364361342521138
Distant	(4.2,5.6]	Lysine degradation	59	6	0.0884318923373563	0.364781555891594
Distant	(4.2,5.6]	VEGF signaling pathway	59	6	0.0884318923373563	0.364781555891594
Distant	(4.2,5.6]	Chagas disease (American trypanosomiasis)	102	9	0.0875704072329693	0.364781555891594
Distant	(4.2,5.6]	Breast cancer	147	12	0.0859105921672233	0.364781555891594
Regional	(2.8,4.2]	Pertussis	76	30	0.180181581390317	0.364784796679784
All	(5.6,7]	Chagas disease (American trypanosomiasis)	102	8	0.108722322908377	0.366105781222088
Regional	(2.8,4.2]	Fatty acid elongation	30	13	0.182481816675881	0.367189021360005
All	(5.6,7]	Regulation of lipolysis in adipocytes	54	5	0.110266824667583	0.367556082225276
All	(2.8,4.2]	Notch signaling pathway	48	10	0.150127378069434	0.36932817473861
All	(2.8,4.2]	Aldosterone synthesis and secretion	96	18	0.151088798756704	0.36932817473861
Localized	(7,8.4]	TNF signaling pathway	110	9	0.0743516535845578	0.369652447152347
Localized	(7,8.4]	Human immunodeficiency virus 1 infection	212	15	0.0750506483612341	0.369652447152347
Distant	(4.2,5.6]	GABAergic synapse	88	8	0.0907861632814985	0.369869554109808
All	(4.2,5.6]	ABC transporters	44	7	0.0964316681178682	0.370028493940657
Distant	(4.2,5.6]	Wnt signaling pathway	149	12	0.0927665911087147	0.370573324063404
Distant	(4.2,5.6]	Bacterial invasion of epithelial cells	74	7	0.0932048057492805	0.370573324063404
Regional	(7,8.4]	Ubiquinone and other terpenoid-quinone biosynthesis	11	2	0.0242092441244012	0.370711543028088
Regional	(7,8.4]	N-Glycan biosynthesis	49	4	0.0238622044419832	0.370711543028088
Regional	(7,8.4]	Autophagy - animal	128	7	0.0250631811289769	0.370711543028088
Regional	(7,8.4]	PI3K-Akt signaling pathway	354	14	0.0280842078051582	0.370711543028088
Regional	(7,8.4]	Natural killer cell mediated cytotoxicity	131	7	0.027999321085883	0.370711543028088
Regional	(7,8.4]	Adipocytokine signaling pathway	69	5	0.0191641448558139	0.370711543028088
Regional	(7,8.4]	Cocaine addiction	49	4	0.0238622044419832	0.370711543028088
Regional	(7,8.4]	Amphetamine addiction	68	5	0.0180945663647789	0.370711543028088
Regional	(7,8.4]	Chagas disease (American trypanosomiasis)	102	6	0.0270791366557629	0.370711543028088
Regional	(7,8.4]	Kaposi sarcoma-associated herpesvirus infection	186	9	0.0241956675995926	0.370711543028088
Regional	(2.8,4.2]	RNA degradation	79	31	0.185717705138819	0.371435410277639
Localized	(8.4,10]	Fc gamma R-mediated phagocytosis	91	3	0.0552689162931437	0.372219232178315
Regional	(7,8.4]	C-type lectin receptor signaling pathway	104	6	0.0294288518357217	0.373520042530314
Localized	(8.4,10]	Human T-cell leukemia virus 1 infection	219	5	0.0566618402382129	0.373968145572205
All	(5.6,7]	Glucagon signaling pathway	103	8	0.113329254491152	0.373986539820804
Localized	(7,8.4]	Adrenergic signaling in cardiomyocytes	144	11	0.0770705560465219	0.37401887493165
All	[0,1.4]	Wnt signaling pathway	149	16	0.0328873828644149	0.374235736043342
Distant	(2.8,4.2]	Ubiquitin mediated proteolysis	137	27	0.137301367366796	0.374305170020104
Distant	(2.8,4.2]	Mitophagy - animal	65	14	0.143569003793789	0.374305170020104
Distant	(2.8,4.2]	Regulation of lipolysis in adipocytes	54	12	0.141270396703275	0.374305170020104
Distant	(2.8,4.2]	Renin secretion	65	14	0.143569003793789	0.374305170020104
Distant	(2.8,4.2]	Measles	132	26	0.143327420814149	0.374305170020104
Distant	(2.8,4.2]	Epstein-Barr virus infection	201	38	0.144050777553191	0.374305170020104
Distant	(2.8,4.2]	Human immunodeficiency virus 1 infection	212	40	0.13981339512075	0.374305170020104
Distant	(2.8,4.2]	Viral carcinogenesis	201	38	0.144050777553191	0.374305170020104
All	(4.2,5.6]	Th17 cell differentiation	107	14	0.0989088105263182	0.375171350272241
Regional	(2.8,4.2]	GnRH signaling pathway	93	36	0.189108795147774	0.37551590507787
Regional	(2.8,4.2]	Non-alcoholic fatty liver disease (NAFLD)	149	56	0.190033806509103	0.37551590507787
Distant	(1.4,2.8]	Fc gamma R-mediated phagocytosis	91	9	0.143726512452892	0.376426580233765
Distant	(1.4,2.8]	Morphine addiction	91	9	0.143726512452892	0.376426580233765
Localized	(8.4,10]	Small cell lung cancer	93	3	0.0582603598282283	0.376978798888536
Distant	(2.8,4.2]	GnRH signaling pathway	93	19	0.148022205085453	0.377499287497624
Distant	(2.8,4.2]	Cocaine addiction	49	11	0.146720419409518	0.377499287497624
Distant	(2.8,4.2]	Hepatitis B	144	28	0.148711840529367	0.377499287497624
Distant	(1.4,2.8]	Toll-like receptor signaling pathway	104	10	0.145986424564852	0.379334803987412
Localized	(7,8.4]	Osteoclast differentiation	128	10	0.0793839920830152	0.379662570831811
All	(8.4,10]	Thyroid hormone synthesis	74	8	0.0921390468944554	0.380073568439628
All	(8.4,10]	Bacterial invasion of epithelial cells	74	8	0.0921390468944554	0.380073568439628
All	(8.4,10]	Cholinergic synapse	112	11	0.0933666546495019	0.380382667090563
Regional	(2.8,4.2]	Aldosterone synthesis and secretion	96	37	0.193740851984246	0.380562387826198
All	(4.2,5.6]	Longevity regulating pathway - multiple species	62	9	0.102081095255607	0.380963096325264
All	(4.2,5.6]	Glioma	71	10	0.102744592645298	0.380963096325264
All	[0,1.4]	Allograft rejection	38	6	0.0346760685862038	0.381436754448242
All	(5.6,7]	Vascular smooth muscle contraction	121	9	0.118174445090752	0.382329087058316
All	(5.6,7]	Toll-like receptor signaling pathway	104	8	0.118040600631349	0.382329087058316
Distant	(2.8,4.2]	Carbohydrate digestion and absorption	44	10	0.15223764525358	0.383499411707493
Distant	(1.4,2.8]	Calcium signaling pathway	183	16	0.149375528434945	0.385108784246342
All	(2.8,4.2]	Thyroid cancer	37	8	0.159546666860975	0.387135294589132
All	[0,1.4]	One carbon pool by folate	20	4	0.0375448030577931	0.38715247631374
All	[0,1.4]	Prolactin signaling pathway	70	9	0.037036920295236	0.38715247631374
All	[0,1.4]	Small cell lung cancer	93	11	0.038715247631374	0.38715247631374
All	(2.8,4.2]	Glycerophospholipid metabolism	97	18	0.161779296354489	0.389687356182346
All	(8.4,10]	Signaling pathways regulating pluripotency of stem cells	139	13	0.0975038249344566	0.392393441809398
Distant	(1.4,2.8]	Hepatitis C	131	12	0.153413451762736	0.392453016137233
Distant	(4.2,5.6]	Apoptosis	136	11	0.102134093383294	0.393634385998768
Distant	(4.2,5.6]	Longevity regulating pathway - multiple species	62	6	0.106162001072395	0.393634385998768
Distant	(4.2,5.6]	NOD-like receptor signaling pathway	168	13	0.104497046478221	0.393634385998768
Distant	(4.2,5.6]	Fc gamma R-mediated phagocytosis	91	8	0.105157826936421	0.393634385998768
Distant	(4.2,5.6]	Parathyroid hormone synthesis, secretion and action	106	9	0.10501207720528	0.393634385998768
Distant	(4.2,5.6]	Morphine addiction	91	8	0.105157826936421	0.393634385998768
All	(8.4,10]	Basal cell carcinoma	63	7	0.0992702095028819	0.394688784770494
All	(2.8,4.2]	Platinum drug resistance	73	14	0.166642668876848	0.395626480067337
All	(2.8,4.2]	Maturity onset diabetes of the young	26	6	0.166349634717666	0.395626480067337
All	(5.6,7]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	6	0.123864864209381	0.396848594068893
Distant	(2.8,4.2]	D-Arginine and D-ornithine metabolism	1	1	0.159459097603427	0.396882867457104
Distant	(2.8,4.2]	p53 signaling pathway	72	15	0.163563848406564	0.396882867457104
Distant	(2.8,4.2]	Taste transduction	83	17	0.161837470928275	0.396882867457104
Distant	(2.8,4.2]	Kaposi sarcoma-associated herpesvirus infection	186	35	0.162747758992291	0.396882867457104
Distant	(2.8,4.2]	Hypertrophic cardiomyopathy (HCM)	83	17	0.161837470928275	0.396882867457104
Distant	(1.4,2.8]	Propanoate metabolism	32	4	0.156518356496919	0.397315828030642
Localized	(7,8.4]	Central carbon metabolism in cancer	65	6	0.0846040910186914	0.398847857659545
Regional	(2.8,4.2]	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	9	0.205301774338197	0.400885121488788
All	(2.8,4.2]	Toll-like receptor signaling pathway	104	19	0.170825981877821	0.402661242997722
Distant	(2.8,4.2]	Hippo signaling pathway - multiple species	29	7	0.167967583397805	0.404593449060407
All	(4.2,5.6]	Kaposi sarcoma-associated herpesvirus infection	186	22	0.112022064785563	0.406233861310283
All	(4.2,5.6]	Thyroid cancer	37	6	0.110883202325103	0.406233861310283
All	(2.8,4.2]	Autophagy - other	32	7	0.173607240751833	0.406314818780886
All	(8.4,10]	Chronic myeloid leukemia	76	8	0.103654729490192	0.407215008711469
Distant	(2.8,4.2]	Glycosaminoglycan biosynthesis - keratan sulfate	14	4	0.172444846490338	0.409401434113752
Distant	(2.8,4.2]	Vitamin digestion and absorption	24	6	0.171969955006205	0.409401434113752
All	(8.4,10]	Hippo signaling pathway - multiple species	29	4	0.105974444948244	0.411430198034359
Distant	(2.8,4.2]	Tight junction	170	32	0.175061234362482	0.412644338140138
Distant	(4.2,5.6]	Lysosome	123	10	0.112584112706403	0.412808413256813
Distant	(4.2,5.6]	Signaling pathways regulating pluripotency of stem cells	139	11	0.114361895153251	0.413935614137398
Distant	(4.2,5.6]	IL-17 signaling pathway	93	8	0.115400231820123	0.413935614137398
Localized	(1.4,2.8]	Th1 and Th2 cell differentiation	92	8	0.0138653398813694	0.415960196441082
Localized	(1.4,2.8]	Bacterial invasion of epithelial cells	74	7	0.0135660708729672	0.415960196441082
All	(2.8,4.2]	Thyroid hormone synthesis	74	14	0.179757789279831	0.417746975086932
Distant	(1.4,2.8]	Th17 cell differentiation	107	10	0.165981702726904	0.418121846563958
Distant	(1.4,2.8]	Adipocytokine signaling pathway	69	7	0.167275525813369	0.418188814533422
All	(2.8,4.2]	Human T-cell leukemia virus 1 infection	219	37	0.181296665611659	0.418376920642291
All	[0,1.4]	Mucin type O-glycan biosynthesis	31	5	0.048083914548452	0.418623899082152
All	[0,1.4]	Rap1 signaling pathway	206	20	0.0471433491616665	0.418623899082152
All	[0,1.4]	AMPK signaling pathway	120	13	0.0482051762579448	0.418623899082152
All	[0,1.4]	Amoebiasis	96	11	0.0471150524747216	0.418623899082152
All	[0,1.4]	Graft-versus-host disease	41	6	0.0479975074447452	0.418623899082152
All	(5.6,7]	Dilated cardiomyopathy (DCM)	90	7	0.132462648901551	0.420314174399153
Regional	(2.8,4.2]	D-Glutamine and D-glutamate metabolism	5	3	0.218077525226377	0.420851364471956
Regional	(2.8,4.2]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	28	0.21739789086109	0.420851364471956
Regional	(2.8,4.2]	Vibrio cholerae infection	50	20	0.219858837344848	0.421822187929069
Localized	(7,8.4]	Ubiquinone and other terpenoid-quinone biosynthesis	11	2	0.0919751885803965	0.42196003430448
Localized	(7,8.4]	Epstein-Barr virus infection	201	14	0.0920640074846138	0.42196003430448
All	(8.4,10]	Thyroid hormone signaling pathway	116	11	0.112358496477108	0.42196144509964
All	(8.4,10]	Salivary secretion	90	9	0.111736321032742	0.42196144509964
All	(8.4,10]	Shigellosis	65	7	0.11252305202657	0.42196144509964
Distant	(1.4,2.8]	ECM-receptor interaction	82	8	0.170744577355002	0.423651958850759
All	[0,1.4]	Glycerophospholipid metabolism	97	11	0.0501710245387096	0.424524053789081
Regional	(2.8,4.2]	Mannose type O-glycan biosynthesis	23	10	0.222972740088206	0.425323723867677
All	(8.4,10]	C-type lectin receptor signaling pathway	104	10	0.117905004345547	0.425966414798987
All	(8.4,10]	Fc gamma R-mediated phagocytosis	91	9	0.117531547596973	0.425966414798987
All	(8.4,10]	Relaxin signaling pathway	130	12	0.116355094612682	0.425966414798987
All	(8.4,10]	Human immunodeficiency virus 1 infection	212	18	0.118754273216687	0.425966414798987
All	(2.8,4.2]	IL-17 signaling pathway	93	17	0.186742815145343	0.427952284708078
Distant	(4.2,5.6]	Pathways in cancer	526	34	0.120736575100998	0.428420105197091
All	(7,8.4]	Cardiac muscle contraction	78	3	0.00437085929025761	0.429250102101286
All	(7,8.4]	Adrenergic signaling in cardiomyocytes	144	4	0.003132272249937	0.429250102101286
All	(7,8.4]	Neurotrophin signaling pathway	119	4	0.00156049448611103	0.429250102101286
All	(7,8.4]	Hypertrophic cardiomyopathy (HCM)	83	3	0.00520303154062165	0.429250102101286
All	(7,8.4]	Dilated cardiomyopathy (DCM)	90	3	0.00651923277875339	0.430269363397723
Regional	(2.8,4.2]	RNA transport	171	63	0.22726067353463	0.431011622220851
All	(4.2,5.6]	AMPK signaling pathway	120	15	0.120396448065754	0.431856824583685
All	(8.4,10]	cAMP signaling pathway	199	17	0.121859773032614	0.432405646244761
Distant	(2.8,4.2]	Type II diabetes mellitus	46	10	0.187608438022311	0.432942549282258
Distant	(2.8,4.2]	Epithelial cell signaling in Helicobacter pylori infection	68	14	0.185864602103023	0.432942549282258
Distant	(2.8,4.2]	Chagas disease (American trypanosomiasis)	102	20	0.187158030743348	0.432942549282258
All	(8.4,10]	beta-Alanine metabolism	31	4	0.127539521725824	0.433291189205835
All	(8.4,10]	One carbon pool by folate	20	3	0.127590945467156	0.433291189205835
All	(8.4,10]	Long-term potentiation	67	7	0.126659586111656	0.433291189205835
All	(8.4,10]	Parathyroid hormone synthesis, secretion and action	106	10	0.129153184293554	0.433291189205835
All	(8.4,10]	Viral carcinogenesis	201	17	0.12998735676175	0.433291189205835
All	(8.4,10]	MicroRNAs in cancer	299	24	0.128877103403626	0.433291189205835
Distant	(4.2,5.6]	TNF signaling pathway	110	9	0.124280738620879	0.43630472069032
Localized	(8.4,10]	cGMP-PKG signaling pathway	163	4	0.0689739165992299	0.437719086110497
Distant	(1.4,2.8]	Circadian entrainment	96	9	0.180005598057564	0.440013684140713
Distant	(1.4,2.8]	Aldosterone synthesis and secretion	96	9	0.180005598057564	0.440013684140713
Distant	(2.8,4.2]	Apelin signaling pathway	137	26	0.192760359365063	0.441742490211603
Localized	(1.4,2.8]	Notch signaling pathway	48	5	0.0241519888949679	0.442786463074412
Localized	(1.4,2.8]	Glutamatergic synapse	114	9	0.0168136747593436	0.442786463074412
Localized	(1.4,2.8]	Thyroid hormone signaling pathway	116	9	0.0186411835049984	0.442786463074412
Localized	(1.4,2.8]	Human T-cell leukemia virus 1 infection	219	14	0.0192478883440782	0.442786463074412
Localized	(1.4,2.8]	Epstein-Barr virus infection	201	13	0.0217041539662719	0.442786463074412
Localized	(1.4,2.8]	Proteoglycans in cancer	201	13	0.0217041539662719	0.442786463074412
Localized	(1.4,2.8]	Central carbon metabolism in cancer	65	6	0.02414830201597	0.442786463074412
Distant	(1.4,2.8]	SNARE interactions in vesicular transport	34	4	0.182774544555141	0.443497056641152
Distant	(2.8,4.2]	Synaptic vesicle cycle	63	13	0.19493662851569	0.443648878690882
Distant	(4.2,5.6]	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	3	0.129498808872684	0.445152155499853
Distant	(4.2,5.6]	Mineral absorption	51	5	0.128612795460842	0.445152155499853
All	(8.4,10]	Insulin resistance	107	10	0.134987471051363	0.445458654469498
All	(2.8,4.2]	HIF-1 signaling pathway	100	18	0.196169973456262	0.44645580165908
All	(4.2,5.6]	cAMP signaling pathway	199	23	0.127348496530338	0.44707450909587
All	(4.2,5.6]	Central carbon metabolism in cancer	65	9	0.127281879721725	0.44707450909587
Localized	(8.4,10]	Toll-like receptor signaling pathway	104	3	0.0760365085166453	0.448072282330231
Localized	(8.4,10]	NOD-like receptor signaling pathway	168	4	0.0752697546554345	0.448072282330231
Localized	(8.4,10]	Endocrine and other factor-regulated calcium reabsorption	47	2	0.0732478900159764	0.448072282330231
Localized	(8.4,10]	Hepatocellular carcinoma	168	4	0.0752697546554345	0.448072282330231
Distant	(1.4,2.8]	TGF-beta signaling pathway	84	8	0.187186484457314	0.450887152342435
Localized	(1.4,2.8]	Cell cycle	124	9	0.0274085794295591	0.452241560587725
Localized	(1.4,2.8]	Intestinal immune network for IgA production	49	5	0.0261640693806578	0.452241560587725
Distant	(1.4,2.8]	Mannose type O-glycan biosynthesis	23	3	0.190359299396431	0.452889441045215
Distant	(1.4,2.8]	Viral myocarditis	59	6	0.190762522137227	0.452889441045215
Localized	(8.4,10]	Th17 cell differentiation	107	3	0.0812577316227465	0.454492397211972
Localized	(8.4,10]	Parathyroid hormone synthesis, secretion and action	106	3	0.0795001858770878	0.454492397211972
Localized	(8.4,10]	Insulin resistance	107	3	0.0812577316227465	0.454492397211972
Regional	(7,8.4]	Tyrosine metabolism	36	3	0.0464300243889057	0.45529249095128
Regional	(7,8.4]	Phenylalanine metabolism	17	2	0.0548361488741271	0.45529249095128
Regional	(7,8.4]	Thiamine metabolism	16	2	0.049093888393419	0.45529249095128
Regional	(7,8.4]	Rap1 signaling pathway	206	9	0.0424680860635213	0.45529249095128
Regional	(7,8.4]	AMPK signaling pathway	120	6	0.0530867730094743	0.45529249095128
Regional	(7,8.4]	Longevity regulating pathway - multiple species	62	4	0.0503195927013759	0.45529249095128
Regional	(7,8.4]	Axon guidance	175	8	0.0434493263328479	0.45529249095128
Regional	(7,8.4]	VEGF signaling pathway	59	4	0.0432024052062026	0.45529249095128
Regional	(7,8.4]	Synaptic vesicle cycle	63	4	0.0528267997311267	0.45529249095128
Regional	(7,8.4]	Oxytocin signaling pathway	152	7	0.0551869686001551	0.45529249095128
Regional	(7,8.4]	Non-alcoholic fatty liver disease (NAFLD)	149	7	0.0505584884909802	0.45529249095128
Regional	(7,8.4]	Hepatitis B	144	7	0.0434086111736872	0.45529249095128
Regional	(7,8.4]	Human immunodeficiency virus 1 infection	212	9	0.0493951071114138	0.45529249095128
Regional	(7,8.4]	Viral myocarditis	59	4	0.0432024052062026	0.45529249095128
All	(5.6,7]	Viral myocarditis	59	5	0.14513346091158	0.456133734293537
Localized	(8.4,10]	Purine metabolism	174	4	0.0831981129171257	0.457589621044191
Distant	(1.4,2.8]	Ether lipid metabolism	47	5	0.195082210942011	0.459836640077599
Regional	(2.8,4.2]	Platinum drug resistance	73	28	0.2441215476715	0.460343489894829
All	(2.8,4.2]	Taurine and hypotaurine metabolism	11	3	0.207251701400465	0.462001468185275
All	(2.8,4.2]	RIG-I-like receptor signaling pathway	70	13	0.210000667356943	0.462001468185275
All	(2.8,4.2]	Th17 cell differentiation	107	19	0.204988699583265	0.462001468185275
All	(2.8,4.2]	Pertussis	76	14	0.207431869814119	0.462001468185275
All	(2.8,4.2]	Influenza A	171	29	0.209751452522217	0.462001468185275
Distant	(2.8,4.2]	Tuberculosis	179	33	0.20460386095586	0.462460781612561
Distant	(1.4,2.8]	Protein processing in endoplasmic reticulum	165	14	0.197791893462703	0.462917197465902
Distant	(4.2,5.6]	Adrenergic signaling in cardiomyocytes	144	11	0.136512576221161	0.464424228381271
All	(5.6,7]	GnRH signaling pathway	93	7	0.149637626046192	0.465852986747581
All	(8.4,10]	ECM-receptor interaction	82	8	0.142706366163804	0.465979528355347
All	(8.4,10]	Gastric cancer	149	13	0.144030036037107	0.465979528355347
Regional	(2.8,4.2]	Protein digestion and absorption	90	34	0.24864568071734	0.466210651345013
Localized	(8.4,10]	TNF signaling pathway	110	3	0.0866313515851506	0.468661410214749
All	(8.4,10]	Taurine and hypotaurine metabolism	11	2	0.14929942175017	0.469226754071964
All	(8.4,10]	Circadian entrainment	96	9	0.14888842238187	0.469226754071964
All	(8.4,10]	Pancreatic secretion	96	9	0.14888842238187	0.469226754071964
Distant	(4.2,5.6]	Long-term potentiation	67	6	0.139431216480196	0.469513279984334
Regional	(7,8.4]	Human T-cell leukemia virus 1 infection	219	9	0.0583779968285105	0.46987168179045
All	(5.6,7]	Vasopressin-regulated water reabsorption	44	4	0.152702080493538	0.470430038832223
All	(5.6,7]	Human T-cell leukemia virus 1 infection	219	14	0.153958921799636	0.470430038832223
All	(2.8,4.2]	SNARE interactions in vesicular transport	34	7	0.216449139723614	0.472196253560599
All	(2.8,4.2]	Ferroptosis	40	8	0.217496456185488	0.472196253560599
Regional	(2.8,4.2]	Cell adhesion molecules (CAMs)	144	53	0.253547093193632	0.472714919513552
Regional	(2.8,4.2]	Non-homologous end-joining	13	6	0.255040501609842	0.472827896242966
Regional	(7,8.4]	Tryptophan metabolism	40	3	0.060246301654414	0.473363798713253
Distant	(1.4,2.8]	Fluid shear stress and atherosclerosis	139	12	0.204155648558876	0.474446225524148
Regional	(2.8,4.2]	Pancreatic secretion	96	36	0.257629089551298	0.474958656714684
All	(8.4,10]	Ubiquitin mediated proteolysis	137	12	0.152922559683129	0.476079666938043
Distant	(1.4,2.8]	Notch signaling pathway	48	5	0.206908360074306	0.477480830940706
Regional	(7,8.4]	NF-kappa B signaling pathway	95	5	0.0624483485092807	0.479254767629364
Distant	(1.4,2.8]	Fatty acid biosynthesis	13	2	0.20954149972221	0.480199270196732
Localized	(8.4,10]	Cholinergic synapse	112	3	0.0902963479267569	0.480609593803706
Distant	(2.8,4.2]	Fluid shear stress and atherosclerosis	139	26	0.214712064424772	0.482006675239284
Localized	(1.4,2.8]	Breast cancer	147	10	0.0306867892355057	0.482220973700805
Regional	(4.2,5.6]	Synthesis and degradation of ketone bodies	10	2	0.00292309623258352	0.482310878376281
Distant	(4.2,5.6]	Phospholipase D signaling pathway	146	11	0.145977166137628	0.483811829974332
Distant	(4.2,5.6]	Fc epsilon RI signaling pathway	68	6	0.146609645446767	0.483811829974332
All	(8.4,10]	TGF-beta signaling pathway	84	8	0.157148650942471	0.484664063654351
Localized	(7,8.4]	Ubiquitin mediated proteolysis	137	10	0.111704743899817	0.485033756407104
Localized	(7,8.4]	Apelin signaling pathway	137	10	0.111704743899817	0.485033756407104
Localized	(7,8.4]	Chagas disease (American trypanosomiasis)	102	8	0.10742158287395	0.485033756407104
Localized	(7,8.4]	Human cytomegalovirus infection	225	15	0.110024095263058	0.485033756407104
All	(5.6,7]	Glycerolipid metabolism	61	5	0.160262025410093	0.485196957663586
Distant	(1.4,2.8]	Inositol phosphate metabolism	74	7	0.213249537980837	0.485326534715008
All	(2.8,4.2]	Primary bile acid biosynthesis	17	4	0.226550210846684	0.485464737528609
All	(2.8,4.2]	Glioma	71	13	0.225252426074526	0.485464737528609
All	(2.8,4.2]	Renin secretion	65	12	0.2284538948148	0.486385711541187
All	(5.6,7]	Pentose phosphate pathway	30	3	0.166987204197564	0.486481983046844
All	(5.6,7]	Longevity regulating pathway - multiple species	62	5	0.168057412325273	0.486481983046844
All	(5.6,7]	Circadian entrainment	96	7	0.167800840264863	0.486481983046844
All	(5.6,7]	Dopaminergic synapse	131	9	0.166460254870208	0.486481983046844
All	(5.6,7]	Pancreatic secretion	96	7	0.167800840264863	0.486481983046844
All	[0,1.4]	Shigellosis	65	8	0.0592501460242883	0.488813704700379
Localized	(4.2,5.6]	mRNA surveillance pathway	91	2	0.0029630859376735	0.488909179716128
Distant	(4.2,5.6]	Lipoic acid metabolism	3	1	0.149711307135525	0.489155755987359
Distant	(4.2,5.6]	Dopaminergic synapse	131	10	0.151267200445818	0.489393883795296
All	(2.8,4.2]	Lysine degradation	59	11	0.2314854265091	0.489680709923097
All	(2.8,4.2]	Glucagon signaling pathway	103	18	0.233770577529197	0.489726127764329
All	(2.8,4.2]	Alcoholism	180	30	0.234474933899284	0.489726127764329
All	(5.6,7]	Type II diabetes mellitus	46	4	0.171054488408893	0.490852010216823
All	(8.4,10]	Type II diabetes mellitus	46	5	0.160807016069713	0.491354771324123
All	(5.6,7]	MicroRNAs in cancer	299	18	0.172744119783038	0.491427237313815
All	(5.6,7]	Synaptic vesicle cycle	63	5	0.175998906267452	0.496407171523583
Regional	(2.8,4.2]	JAK-STAT signaling pathway	162	59	0.270917803329373	0.496682639437185
All	(8.4,10]	VEGF signaling pathway	59	6	0.164816599865035	0.498986036288638
Distant	(4.2,5.6]	Retrograde endocannabinoid signaling	148	11	0.155776472610974	0.499089669530305
All	(5.6,7]	RNA polymerase	31	3	0.178832865645076	0.500125810702333
Localized	(7,8.4]	B cell receptor signaling pathway	71	6	0.11676978849787	0.500441950705158
All	(5.6,7]	Ether lipid metabolism	47	4	0.18050684940146	0.500565212625897
All	[0,1.4]	Longevity regulating pathway	89	10	0.0632229606043119	0.500687217753044
All	[0,1.4]	Melanogenesis	101	11	0.0637238277140238	0.500687217753044
All	[0,1.4]	Chemokine signaling pathway	189	18	0.0668616058825986	0.501462044119489
All	[0,1.4]	mTOR signaling pathway	151	15	0.0668604156421708	0.501462044119489
Regional	(7,8.4]	Human cytomegalovirus infection	225	9	0.066870267427563	0.501527005706722
Distant	(1.4,2.8]	GABAergic synapse	88	8	0.221953911223572	0.50167664865602
Localized	(7,8.4]	Gap junction	88	7	0.120280817174323	0.502438856550971
Localized	(7,8.4]	Human papillomavirus infection	339	21	0.119876013669471	0.502438856550971
All	(5.6,7]	Chemokine signaling pathway	189	12	0.18303395717484	0.50334338223081
Distant	(2.8,4.2]	ECM-receptor interaction	82	16	0.226332560006343	0.504660437851981
Regional	(7,8.4]	Inflammatory mediator regulation of TRP channels	99	5	0.071884316384389	0.504719668230816
Regional	(7,8.4]	Progesterone-mediated oocyte maturation	99	5	0.071884316384389	0.504719668230816
Regional	(7,8.4]	AGE-RAGE signaling pathway in diabetic complications	99	5	0.071884316384389	0.504719668230816
Distant	(2.8,4.2]	Thyroid cancer	37	8	0.228107918009081	0.505205455993266
Distant	(1.4,2.8]	Serotonergic synapse	115	10	0.225134893210433	0.505404862309136
All	(8.4,10]	Cysteine and methionine metabolism	47	5	0.171315278840104	0.505806943261033
All	(8.4,10]	Mannose type O-glycan biosynthesis	23	3	0.173200559359081	0.505806943261033
All	(8.4,10]	Hedgehog signaling pathway	47	5	0.171315278840104	0.505806943261033
All	(8.4,10]	Colorectal cancer	86	8	0.172252972609905	0.505806943261033
Localized	(7,8.4]	Melanoma	72	6	0.12265504109398	0.505952044512669
All	(8.4,10]	African trypanosomiasis	35	4	0.175459235917462	0.507908314497917
Localized	(8.4,10]	Staphylococcus aureus infection	56	2	0.0988949375747874	0.509927021869997
Localized	(8.4,10]	Herpes simplex infection	185	4	0.0987595438467996	0.509927021869997
Distant	(4.2,5.6]	T cell receptor signaling pathway	101	8	0.161404255757766	0.512148119231374
Distant	(1.4,2.8]	Cholesterol metabolism	50	5	0.231227596662504	0.515575046612342
Distant	(1.4,2.8]	Thyroid hormone signaling pathway	116	10	0.233057803468393	0.51616828956087
Localized	(1.4,2.8]	Mannose type O-glycan biosynthesis	23	3	0.0433225792483048	0.516875877660208
Localized	(1.4,2.8]	EGFR tyrosine kinase inhibitor resistance	79	6	0.0548201688427493	0.516875877660208
Localized	(1.4,2.8]	MAPK signaling pathway	295	16	0.0489046823138554	0.516875877660208
Localized	(1.4,2.8]	Rap1 signaling pathway	206	12	0.0529392257138286	0.516875877660208
Localized	(1.4,2.8]	Phosphatidylinositol signaling system	99	7	0.0547613036428393	0.516875877660208
Localized	(1.4,2.8]	p53 signaling pathway	72	6	0.0374947316539029	0.516875877660208
Localized	(1.4,2.8]	Hippo signaling pathway	154	10	0.0403038617703701	0.516875877660208
Localized	(1.4,2.8]	B cell receptor signaling pathway	71	6	0.0353507549978193	0.516875877660208
Localized	(1.4,2.8]	Leukocyte transendothelial migration	112	8	0.0395418243119803	0.516875877660208
Localized	(1.4,2.8]	Leishmaniasis	74	6	0.0420279336655667	0.516875877660208
Localized	(1.4,2.8]	Tuberculosis	179	11	0.0454828849254487	0.516875877660208
